,,Overall,,Survey Group,,,,Age Group,,,,,,,,,,Grade Level,,,,,,Gender,,,,LGBTQ Identification (Gen Z adults),,,,Race/Ethnicity,,,,,,,,,,Highest Educational Attainment,,,,,,,,,,Highest educational attainment or enrollment,,Parent Educational Attainment,,,,Eligibility for free or reduced-price lunch,,,,Subjective Income (Parent + Child),,,,,,Subjective Income (Gen Z adults),,,,,,Disability Status (Gen Z children),,,,Political Party Identification (Gen Z adults),,,,,,,,Religious Affiliation (Gen Z adults),,,,Census Region,,,,,,,
,7,24%,1020,25%,429,24%,591,27%,248,23%,196,28%,42,22%,176,23%,358,27%,140,24%,289,24%,591,24%,542,25%,456,21%,145,24%,412,20%,65,18%,83,20%,159,22%,71,28%,631,25%,429,20%,125,26%,47,28%,230,38%,188,25%,429,26%,737,22%,256,23%,157,27%,243,28%,239,22%,150,20%,48,29%,345,25%,199,8%,29,21%,37,25%,404,25%,256,25%,191,24%,113,15%,41,25%,368,21%,250,24%,191,27%,256,24%,371,22%,202
,6,19%,739,18%,297,20%,442,17%,156,19%,157,21%,29,21%,133,20%,264,14%,81,19%,216,20%,442,21%,398,18%,302,19%,140,21%,272,26%,59,13%,59,19%,127,15%,36,21%,449,18%,297,19%,111,26%,44,22%,181,18%,106,18%,297,19%,514,20%,198,19%,130,16%,139,15%,130,18%,123,26%,57,19%,191,22%,185,19%,44,17%,31,18%,278,24%,203,15%,114,22%,77,20%,42,19%,242,21%,212,23%,125,17%,189,18%,268,22%,157
,5,14%,456,11%,188,16%,268,9%,77,15%,123,11%,18,19%,85,15%,153,8%,40,13%,148,16%,268,15%,247,12%,183,17%,82,15%,167,15%,30,19%,58,18%,104,18%,38,11%,219,11%,188,18%,113,19%,32,10%,74,8%,49,11%,188,11%,275,18%,156,13%,85,10%,83,7%,71,15%,89,17%,39,11%,79,20%,127,19%,48,19%,33,11%,166,16%,112,15%,87,11%,33,24%,42,14%,142,20%,146,14%,73,16%,123,15%,162,12%,98
,4,8%,246,4%,71,10%,175,4%,32,5%,43,13%,19,10%,54,9%,98,4%,21,4%,50,10%,175,9%,144,7%,87,13%,63,9%,102,4%,13,6%,23,12%,55,7%,19,7%,132,4%,71,11%,70,11%,19,7%,58,5%,28,4%,71,7%,150,10%,90,6%,34,4%,35,3%,30,6%,33,5%,12,4%,35,11%,81,22%,54,6%,15,4%,59,10%,67,12%,64,4%,17,11%,26,8%,87,12%,93,7%,33,7%,61,7%,86,11%,66
,3,4%,125,2%,36,6%,89,2%,19,2%,19,5%,7,6%,35,5%,45,1%,8,2%,28,6%,89,3%,61,4%,53,9%,33,5%,54,2%,6,6%,16,2%,16,4%,10,6%,77,2%,36,7%,37,3%,9,4%,28,3%,15,2%,36,4%,80,5%,43,2%,16,2%,14,1%,10,3%,19,4%,9,3%,15,5%,36,14%,36,8%,12,1%,26,4%,31,7%,34,3%,5,6%,15,4%,41,8%,51,5%,22,4%,32,5%,47,3%,24
,2,2%,40,1%,13,2%,27,1%,7,0%,6,3%,3,2%,13,2%,11,1%,6,0%,7,2%,27,1%,20,2%,16,3%,17,2%,9,2%,4,3%,5,2%,10,3%,6,1%,15,1%,13,3%,14,0%,1,2%,9,1%,3,1%,13,1%,18,2%,18,1%,7,0%,4,0%,4,1%,4,1%,5,0%,1,2%,11,8%,14,1%,6,0%,7,3%,10,2%,9,1%,1,2%,4,1%,13,3%,15,2%,6,2%,11,1%,12,2%,11
,1,0%,16,0%,2,1%,14,0%,1,0%,2,0%,0,1%,5,1%,8,0%,0,0%,2,1%,14,1%,8,0%,8,1%,6,0%,6,0%,3,0%,1,1%,2,1%,2,0%,7,0%,2,1%,5,0%,1,1%,6,0%,2,0%,2,0%,10,1%,6,0%,1,0%,1,0%,1,0%,1,0%,1,0%,0,0%,4,3%,9,0%,1,0%,2,0%,6,0%,4,1%,3,1%,1,1%,7,1%,8,0%,2,0%,4,0%,5,1%,5
,0 Worst possible,0%,11,0%,3,1%,8,0%,3,0%,0,2%,2,0%,3,0%,3,1%,2,0%,1,1%,8,1%,10,0%,1,0%,2,1%,5,1%,3,0%,0,1%,6,1%,1,0%,1,0%,3,0%,2,1%,1,1%,5,0%,0,0%,3,0%,2,1%,7,0%,3,0%,0,0%,1,0%,0,1%,2,0%,1,0%,2,2%,5,1%,2,0%,1,1%,5,0%,2,0%,0,1%,1,1%,5,0%,3,0%,1,0%,2,0%,6,1%,2
,Total,100%,3778,100%,1683,100%,2095,100%,923,100%,826,100%,146,100%,631,100%,1252,100%,523,100%,1160,100%,2095,100%,1988,100%,1653,100%,582,100%,1399,100%,269,100%,359,100%,682,100%,246,100%,2175,100%,1683,100%,595,100%,186,100%,784,100%,529,100%,1683,100%,2629,100%,1018,100%,652,100%,899,100%,868,100%,636,100%,231,100%,1013,100%,750,100%,253,100%,196,100%,1541,100%,884,100%,649,100%,389,100%,211,100%,1276,100%,939,100%,632,100%,949,100%,1407,100%,789
"Just your best guess, on which step do you think you will stand in the future, say about five years from now?",10 Best possible,16%,523,19%,305,13%,218,21%,182,18%,133,10%,16,13%,64,15%,128,24%,112,18%,193,13%,218,16%,282,15%,230,11%,45,14%,164,7%,23,27%,104,21%,128,16%,34,11%,224,19%,305,15%,90,15%,24,8%,56,12%,48,19%,305,15%,350,14%,139,23%,143,16%,141,20%,156,17%,111,22%,44,16%,120,10%,65,12%,23,19%,29,20%,284,10%,68,17%,76,17%,60,15%,29,17%,179,9%,62,11%,71,13%,115,21%,245,12%,91
,9,23%,934,26%,429,21%,505,27%,237,26%,207,21%,29,21%,149,21%,312,27%,139,26%,290,21%,505,21%,478,27%,445,14%,103,24%,384,20%,61,23%,79,18%,151,24%,57,25%,572,26%,429,20%,113,15%,32,25%,202,28%,157,26%,429,24%,675,23%,241,24%,152,29%,247,25%,219,30%,174,20%,48,26%,308,21%,151,10%,29,17%,36,28%,406,19%,212,21%,149,31%,133,17%,40,25%,367,16%,175,24%,169,22%,226,23%,371,22%,168
,8,27%,1154,27%,499,27%,655,26%,267,28%,253,26%,38,28%,202,27%,394,24%,145,29%,354,27%,655,30%,626,25%,489,25%,173,27%,447,32%,83,23%,88,24%,190,21%,60,30%,726,27%,499,23%,144,30%,57,35%,270,33%,184,27%,499,30%,839,24%,286,27%,187,29%,281,31%,284,25%,173,23%,61,30%,362,28%,219,18%,47,23%,53,28%,464,34%,321,23%,189,28%,115,18%,44,25%,369,29%,320,30%,209,26%,293,25%,397,29%,255
,7,17%,575,15%,240,18%,335,15%,127,15%,123,18%,27,18%,103,16%,195,14%,66,15%,174,18%,335,17%,308,16%,239,20%,113,17%,198,18%,48,11%,37,20%,113,18%,39,16%,331,15%,240,18%,104,21%,34,15%,121,14%,76,15%,240,16%,387,18%,166,14%,95,16%,120,13%,107,17%,99,16%,40,15%,124,22%,160,15%,39,17%,33,15%,214,18%,143,18%,111,13%,46,23%,43,18%,189,17%,165,14%,89,19%,158,15%,192,19%,136
,6,8%,291,6%,112,10%,179,5%,51,8%,66,15%,19,7%,40,10%,115,5%,26,7%,86,10%,179,8%,152,8%,123,12%,63,8%,105,13%,28,6%,21,8%,40,7%,21,9%,175,6%,112,11%,64,8%,15,8%,69,6%,31,6%,112,7%,186,11%,91,6%,32,6%,64,6%,58,6%,39,9%,20,7%,58,9%,66,19%,49,8%,15,6%,101,11%,72,9%,58,6%,20,11%,24,7%,85,13%,101,11%,49,7%,77,9%,103,7%,62
,5,5%,166,3%,55,6%,111,4%,35,3%,23,8%,12,7%,40,5%,56,3%,18,3%,37,6%,111,5%,82,4%,70,7%,36,5%,65,7%,16,5%,16,5%,30,10%,19,4%,84,3%,55,7%,45,7%,10,5%,35,6%,21,3%,55,5%,109,5%,48,4%,24,3%,29,2%,25,4%,24,4%,8,4%,24,7%,52,10%,31,7%,14,3%,43,5%,35,6%,31,3%,13,10%,19,4%,53,8%,59,6%,29,6%,46,3%,49,7%,42
,4,2%,61,1%,21,2%,40,1%,9,2%,12,2%,3,2%,12,3%,25,1%,7,2%,14,2%,40,1%,25,2%,26,5%,21,1%,17,2%,5,1%,7,3%,12,3%,6,2%,31,1%,21,2%,15,2%,5,2%,14,1%,6,1%,21,2%,43,2%,18,1%,6,2%,11,1%,9,2%,10,2%,2,1%,9,2%,15,7%,15,4%,7,1%,14,2%,15,4%,21,0%,0,1%,3,1%,16,4%,25,2%,6,3%,20,1%,19,3%,16
,3,1%,30,1%,10,1%,20,1%,5,1%,7,0%,0,2%,8,1%,10,1%,4,0%,6,1%,20,1%,14,1%,12,2%,13,1%,6,0%,1,2%,3,1%,5,2%,6,1%,14,1%,10,2%,10,1%,4,0%,2,0%,4,1%,10,1%,21,1%,7,1%,6,0%,3,0%,3,0%,4,2%,5,0%,3,1%,5,4%,10,3%,5,0%,7,0%,6,0%,3,1%,1,4%,5,1%,4,2%,15,0%,3,1%,7,1%,11,1%,9
,2,0%,15,0%,4,1%,11,0%,2,0%,2,0%,0,1%,5,1%,6,0%,1,0%,3,1%,11,0%,6,1%,8,1%,7,0%,3,0%,0,1%,1,1%,5,0%,1,0%,8,0%,4,0%,2,1%,3,1%,5,1%,1,0%,4,0%,7,1%,7,1%,3,0%,1,0%,2,0%,2,0%,0,0%,2,1%,7,1%,2,1%,1,0%,3,0%,4,1%,5,0%,0,0%,1,0%,4,1%,7,1%,5,0%,2,0%,3,1%,5
,1,0%,9,0%,2,0%,7,0%,2,0%,0,0%,0,0%,1,1%,6,0%,1,0%,1,0%,7,0%,2,0%,6,1%,3,0%,3,0%,0,0%,1,0%,3,0%,1,0%,4,0%,2,0%,2,0%,0,0%,5,0%,0,0%,2,0%,4,1%,5,0%,1,0%,0,0%,1,0%,0,0%,1,0%,0,1%,6,1%,1,1%,2,0%,0,0%,4,1%,3,0%,0,0%,0,0%,4,0%,3,0%,1,0%,0,0%,6,0%,2
,0 Worst possible,1%,13,0%,3,1%,10,0%,3,0%,0,0%,1,2%,7,0%,2,1%,2,0%,1,1%,10,1%,8,0%,4,1%,3,0%,5,1%,3,1%,1,0%,4,0%,0,1%,5,0%,3,1%,5,0%,0,1%,5,0%,0,0%,3,0%,4,1%,7,0%,2,0%,1,0%,1,0%,1,1%,1,0%,1,0%,2,4%,7,1%,1,0%,2,1%,3,0%,3,0%,1,2%,2,0%,4,1%,6,0%,1,1%,5,1%,6,1%,1
,Total,100%,3771,100%,1680,100%,2091,100%,920,100%,826,100%,145,100%,631,100%,1249,100%,521,100%,1159,100%,2091,100%,1983,100%,1652,100%,580,100%,1397,100%,268,100%,358,100%,681,100%,244,100%,2174,100%,1680,100%,594,100%,184,100%,784,100%,528,100%,1680,100%,2625,100%,1015,100%,651,100%,898,100%,865,100%,637,100%,230,100%,1011,100%,748,100%,253,100%,196,100%,1538,100%,883,100%,649,100%,389,100%,210,100%,1274,100%,938,100%,632,100%,949,100%,1402,100%,787
I have a great future ahead of me.,Strongly agree,31%,1225,37%,603,28%,622,37%,331,37%,293,24%,37,29%,190,29%,374,40%,185,36%,418,28%,622,32%,673,33%,533,20%,124,31%,469,20%,58,45%,166,31%,223,33%,74,30%,689,37%,603,27%,159,26%,50,32%,245,30%,168,37%,603,34%,897,27%,295,41%,245,34%,318,38%,326,35%,212,37%,79,35%,369,24%,182,19%,48,22%,43,39%,577,24%,236,29%,180,44%,190,26%,59,35%,496,20%,183,29%,200,31%,302,37%,516,24%,207
,Agree,46%,1774,47%,798,45%,976,47%,446,46%,379,50%,72,42%,287,45%,590,41%,246,49%,552,45%,976,47%,935,45%,790,44%,260,46%,671,50%,139,38%,143,42%,307,39%,107,49%,1054,47%,798,43%,255,47%,84,46%,367,50%,270,47%,798,47%,1248,43%,466,43%,291,50%,443,50%,425,47%,304,38%,92,48%,500,46%,358,33%,84,42%,85,47%,736,50%,461,41%,285,46%,170,41%,88,45%,563,45%,468,47%,294,45%,459,44%,640,48%,380
,Neither agree nor disagree,17%,603,14%,237,20%,366,14%,126,14%,128,20%,30,20%,105,19%,214,17%,80,12%,157,20%,366,17%,306,16%,248,22%,133,18%,205,20%,51,14%,42,21%,124,22%,49,15%,331,14%,237,21%,133,18%,35,16%,126,15%,71,14%,237,14%,381,22%,193,13%,97,13%,117,10%,95,16%,106,20%,50,15%,121,23%,159,23%,68,25%,51,12%,200,19%,142,19%,126,8%,26,24%,50,18%,178,21%,197,18%,107,17%,139,15%,201,22%,156
,Disagree,4%,129,2%,32,5%,97,2%,15,3%,18,4%,5,6%,35,6%,56,2%,9,2%,23,5%,97,3%,54,5%,60,9%,49,4%,41,9%,19,2%,6,4%,19,4%,11,4%,72,2%,32,6%,35,6%,10,4%,36,4%,16,2%,32,3%,76,6%,49,2%,14,1%,14,2%,15,2%,9,4%,9,2%,20,6%,38,16%,37,9%,14,1%,19,5%,33,7%,45,1%,2,6%,12,2%,26,10%,72,3%,20,5%,37,4%,41,5%,31
,Strongly disagree,1%,39,0%,7,2%,32,0%,2,0%,5,2%,2,3%,13,2%,17,0%,1,0%,6,2%,32,1%,17,1%,17,5%,16,1%,13,0%,2,1%,2,1%,8,2%,4,2%,23,0%,7,2%,13,2%,7,2%,10,1%,2,0%,7,1%,22,1%,14,0%,2,0%,4,0%,3,0%,3,1%,1,0%,3,1%,12,9%,17,1%,3,0%,4,2%,12,3%,13,0%,2,3%,2,1%,14,3%,19,4%,9,2%,11,0%,7,1%,12
,Total,100%,3770,100%,1677,100%,2093,100%,920,100%,823,100%,146,100%,630,100%,1251,100%,521,100%,1156,100%,2093,100%,1985,100%,1648,100%,582,100%,1399,100%,269,100%,359,100%,681,100%,245,100%,2169,100%,1677,100%,595,100%,186,100%,784,100%,527,100%,1677,100%,2624,100%,1017,100%,649,100%,896,100%,864,100%,634,100%,231,100%,1013,100%,749,100%,254,100%,196,100%,1536,100%,884,100%,649,100%,390,100%,211,100%,1277,100%,939,100%,630,100%,948,100%,1405,100%,786
There are issues in my community that I care about.,Strongly agree,26%,1024,17%,284,32%,740,17%,153,18%,142,32%,48,31%,223,32%,458,17%,77,17%,207,32%,740,27%,585,24%,376,46%,292,26%,409,18%,52,34%,119,25%,166,30%,64,26%,611,17%,284,29%,174,26%,52,37%,278,45%,236,17%,284,29%,749,24%,251,19%,122,17%,147,17%,143,15%,105,19%,42,36%,379,30%,256,28%,93,16%,25,17%,267,38%,362,34%,229,23%,89,14%,43,30%,401,34%,368,26%,181,28%,265,27%,375,25%,202
,Agree,44%,1660,38%,679,47%,981,37%,362,40%,346,49%,66,48%,299,46%,587,36%,206,40%,473,47%,981,45%,885,44%,724,39%,229,51%,702,47%,133,36%,137,42%,272,48%,121,46%,975,38%,679,48%,273,48%,81,46%,383,45%,243,38%,679,44%,1176,44%,430,36%,242,41%,380,41%,368,38%,252,35%,83,46%,483,51%,356,46%,106,42%,82,38%,621,53%,427,44%,292,50%,200,40%,93,46%,609,47%,421,51%,285,41%,420,42%,612,44%,343
,Neither agree nor disagree,23%,854,34%,553,16%,301,36%,315,32%,259,16%,26,15%,85,17%,169,36%,183,33%,370,16%,301,22%,413,24%,424,10%,42,19%,243,22%,59,22%,75,27%,191,17%,46,22%,473,34%,553,17%,114,23%,47,13%,99,8%,41,34%,553,21%,550,25%,263,35%,226,32%,286,33%,274,35%,215,36%,82,14%,125,16%,115,18%,37,30%,65,34%,507,7%,75,18%,105,22%,80,36%,63,19%,217,14%,117,18%,130,23%,211,25%,327,24%,186
,Disagree,5%,200,9%,146,3%,54,9%,82,9%,69,3%,4,4%,18,2%,27,10%,50,9%,96,3%,54,5%,93,6%,102,4%,13,3%,37,9%,21,6%,22,4%,38,5%,15,5%,102,9%,146,4%,22,1%,5,3%,21,2%,6,9%,146,5%,132,6%,61,9%,55,9%,73,8%,69,11%,58,10%,23,3%,22,2%,15,4%,12,10%,21,9%,129,2%,17,2%,17,3%,17,7%,8,3%,37,4%,28,5%,31,6%,44,5%,78,5%,47
,Strongly disagree,1%,34,1%,19,1%,15,2%,11,1%,8,1%,1,1%,5,2%,9,1%,7,1%,12,1%,15,1%,8,2%,25,1%,5,1%,7,4%,4,2%,5,2%,13,0%,0,1%,11,1%,19,2%,11,0%,1,1%,2,1%,1,1%,19,1%,20,2%,11,1%,6,2%,12,1%,12,1%,6,1%,1,1%,3,1%,6,4%,6,2%,3,1%,15,0%,2,2%,5,2%,4,4%,4,2%,12,1%,4,1%,4,2%,10,1%,11,2%,9
,Total,100%,3772,100%,1681,100%,2091,100%,923,100%,824,100%,145,100%,630,100%,1250,100%,523,100%,1158,100%,2091,100%,1984,100%,1651,100%,581,100%,1398,100%,269,100%,358,100%,680,100%,246,100%,2172,100%,1681,100%,594,100%,186,100%,783,100%,527,100%,1681,100%,2627,100%,1016,100%,651,100%,898,100%,866,100%,636,100%,231,100%,1012,100%,748,100%,254,100%,196,100%,1539,100%,883,100%,648,100%,390,100%,211,100%,1276,100%,938,100%,631,100%,950,100%,1403,100%,787
I feel a sense of connection with something larger than myself.,Strongly agree,28%,1066,25%,404,30%,662,24%,218,25%,202,27%,40,30%,195,33%,411,25%,124,25%,280,30%,662,30%,604,27%,421,31%,182,30%,450,18%,44,37%,127,27%,188,28%,64,28%,626,25%,404,29%,176,29%,52,31%,236,37%,198,25%,404,31%,767,25%,268,23%,156,25%,205,24%,205,22%,148,30%,61,37%,349,27%,228,24%,68,27%,47,24%,371,25%,235,32%,209,40%,168,26%,58,39%,500,19%,196,26%,169,28%,257,32%,445,24%,194
,Agree,39%,1472,38%,629,39%,843,36%,346,40%,308,45%,67,40%,260,35%,491,36%,193,38%,436,39%,843,40%,791,38%,634,36%,237,41%,562,38%,112,36%,132,36%,253,39%,99,41%,862,38%,629,40%,230,35%,64,40%,325,41%,224,38%,629,39%,1036,38%,387,38%,234,37%,351,40%,339,39%,240,31%,71,38%,419,41%,300,40%,96,34%,63,39%,586,46%,392,36%,241,42%,151,30%,71,39%,507,39%,378,41%,254,39%,377,38%,537,39%,304
,Neither agree nor disagree,24%,876,29%,486,21%,390,31%,271,27%,233,22%,30,19%,108,23%,234,29%,155,29%,331,21%,390,24%,443,24%,402,21%,96,21%,270,31%,77,23%,77,27%,175,23%,55,22%,482,29%,486,23%,134,25%,49,18%,139,14%,67,29%,486,22%,581,28%,258,29%,195,29%,262,29%,241,29%,188,27%,72,18%,172,25%,148,21%,48,24%,54,29%,448,19%,172,22%,124,16%,55,35%,64,17%,203,27%,227,24%,150,24%,227,23%,304,26%,195
,Disagree,7%,292,8%,139,7%,153,8%,73,8%,72,6%,8,7%,55,7%,84,9%,41,8%,98,7%,153,6%,126,9%,156,9%,50,6%,93,12%,32,4%,19,7%,51,9%,27,7%,160,8%,139,7%,44,7%,13,8%,66,6%,30,8%,139,7%,201,7%,83,8%,56,8%,70,6%,65,9%,57,10%,23,6%,61,6%,55,11%,29,13%,26,7%,118,8%,70,7%,56,2%,12,7%,14,4%,55,11%,105,6%,43,8%,76,6%,94,9%,79
,Strongly disagree,2%,63,1%,21,2%,42,1%,13,1%,8,1%,1,3%,12,2%,29,2%,8,1%,13,2%,42,1%,20,2%,36,3%,16,1%,22,1%,4,0%,0,3%,14,1%,1,2%,42,1%,21,2%,9,3%,7,3%,17,2%,9,1%,21,1%,41,2%,20,1%,9,1%,11,1%,14,0%,3,2%,4,1%,11,2%,18,5%,12,2%,5,1%,15,1%,15,3%,19,1%,3,2%,4,1%,10,4%,33,3%,14,2%,12,1%,21,2%,16
,Total,100%,3769,100%,1679,100%,2090,100%,921,100%,823,100%,146,100%,630,100%,1249,100%,521,100%,1158,100%,2090,100%,1984,100%,1649,100%,581,100%,1397,100%,269,100%,355,100%,681,100%,246,100%,2172,100%,1679,100%,593,100%,185,100%,783,100%,528,100%,1679,100%,2626,100%,1016,100%,650,100%,899,100%,864,100%,636,100%,231,100%,1012,100%,749,100%,253,100%,195,100%,1538,100%,884,100%,649,100%,389,100%,211,100%,1275,100%,939,100%,630,100%,949,100%,1401,100%,788
I feel that I lead a purposeful and meaningful life.,Strongly agree,25%,892,25%,404,25%,488,28%,238,23%,177,24%,35,25%,150,24%,292,29%,128,24%,276,25%,488,25%,490,25%,382,23%,109,26%,360,18%,36,35%,134,26%,166,23%,45,23%,498,25%,404,25%,141,21%,39,24%,162,28%,146,25%,404,27%,640,22%,226,27%,161,22%,204,25%,200,21%,142,29%,65,29%,275,23%,159,17%,43,22%,38,25%,372,18%,160,27%,149,37%,152,19%,40,31%,380,16%,139,22%,131,27%,223,29%,390,19%,147
,Agree,45%,1777,50%,812,42%,965,49%,448,50%,397,45%,64,42%,273,40%,595,47%,257,51%,555,42%,965,45%,930,45%,788,36%,247,44%,668,44%,133,33%,125,45%,314,41%,112,48%,1068,50%,812,39%,235,46%,84,44%,373,49%,273,50%,812,46%,1268,43%,451,47%,301,53%,455,53%,447,51%,308,40%,88,47%,502,40%,346,32%,79,41%,80,51%,761,47%,439,39%,286,44%,182,36%,90,46%,611,38%,418,46%,312,44%,459,43%,638,46%,368
